[23:18:05] [warning] VORTEX: Initialized Logging !
[23:18:05] [info] APP: WELCOME! Var=10
[23:18:05] [info] VORTEX: Creating window Vortex Application (2100, 1200)
[23:18:05] [info] VORTEX: OpenGL Version: 4.6 (Compatibility Profile) Mesa 24.0.9-0ubuntu0.2
[23:18:05] [info] VORTEX: OpenGL Rendering Device is: Intel - Mesa Intel(R) Graphics (ADL GT2)
[23:18:05] [info] VORTEX: Using Default Graphics Card
[23:18:12] [info] VORTEX: New entity ID = 0
[23:18:15] [info] APP: Clicked Object ID = 0
[23:18:15] [info] APP: Clicked Object ID = 0
[23:18:15] [info] APP: Clicked Object ID = 0
[23:18:15] [info] APP: Clicked Object ID = 0
[23:18:15] [info] APP: Clicked Object ID = 0
[23:18:15] [info] APP: Clicked Object ID = 0
[23:18:15] [info] APP: Clicked Object ID = 0
[23:18:15] [info] APP: Clicked Object ID = 0
[23:18:15] [info] APP: Clicked Object ID = 0
[23:18:15] [info] APP: Clicked Object ID = 0
[23:18:15] [info] APP: Clicked Object ID = 0
[23:18:15] [info] APP: Clicked Object ID = 0
[23:18:18] [info] APP: Clicked Object ID = -1
[23:18:18] [info] APP: Clicked Object ID = -1
[23:18:18] [info] APP: Clicked Object ID = -1
[23:18:18] [info] APP: Clicked Object ID = -1
[23:18:18] [info] APP: Clicked Object ID = -1
[23:18:18] [info] APP: Clicked Object ID = -1
[23:18:18] [info] APP: Clicked Object ID = -1
[23:18:18] [info] APP: Clicked Object ID = -1
[23:18:18] [info] APP: Clicked Object ID = -1
[23:18:18] [info] APP: Clicked Object ID = -1
[23:18:18] [info] APP: Clicked Object ID = -1
[23:18:18] [info] APP: Clicked Object ID = -1
[23:18:18] [info] VORTEX: New entity ID = 1
[23:18:24] [info] APP: Clicked Object ID = -1
[23:18:24] [info] APP: Clicked Object ID = -1
[23:18:24] [info] APP: Clicked Object ID = -1
[23:18:24] [info] APP: Clicked Object ID = -1
[23:18:24] [info] APP: Clicked Object ID = -1
[23:18:24] [info] APP: Clicked Object ID = -1
[23:18:24] [info] APP: Clicked Object ID = -1
[23:18:24] [info] APP: Clicked Object ID = -1
[23:18:24] [info] APP: Clicked Object ID = -1
[23:18:24] [info] APP: Clicked Object ID = -1
[23:18:24] [info] APP: Clicked Object ID = -1
[23:18:24] [info] APP: Clicked Object ID = -1
[23:18:24] [info] APP: Clicked Object ID = -1
[23:18:24] [info] APP: Clicked Object ID = -1
[23:18:24] [info] APP: Clicked Object ID = -1
[23:18:24] [info] APP: Clicked Object ID = -1
[23:18:24] [info] APP: Clicked Object ID = -1
[23:18:24] [info] APP: Clicked Object ID = -1
[23:18:24] [info] APP: Clicked Object ID = -1
[23:18:24] [info] APP: Clicked Object ID = -1
[23:18:24] [info] APP: Clicked Object ID = -1
[23:18:24] [info] APP: Clicked Object ID = -1
[23:18:24] [info] APP: Clicked Object ID = -1
[23:18:24] [info] APP: Clicked Object ID = -1
[23:18:24] [info] APP: Clicked Object ID = -1
[23:18:24] [info] APP: Clicked Object ID = -1
[23:18:24] [info] APP: Clicked Object ID = -1
[23:18:24] [info] APP: Clicked Object ID = -1
[23:18:24] [info] APP: Clicked Object ID = -1
[23:18:24] [info] APP: Clicked Object ID = -1
[23:18:24] [info] APP: Clicked Object ID = -1
[23:18:24] [info] APP: Clicked Object ID = -1
[23:18:24] [info] APP: Clicked Object ID = -1
[23:18:24] [info] APP: Clicked Object ID = -1
[23:18:24] [info] APP: Clicked Object ID = -1
[23:18:24] [info] APP: Clicked Object ID = -1
[23:18:24] [info] APP: Clicked Object ID = -1
[23:18:24] [info] APP: Clicked Object ID = -1
[23:18:24] [info] APP: Clicked Object ID = -1
[23:18:24] [info] APP: Clicked Object ID = -1
[23:18:24] [info] APP: Clicked Object ID = -1
[23:18:24] [info] APP: Clicked Object ID = -1
[23:18:24] [info] APP: Clicked Object ID = -1
[23:18:24] [info] APP: Clicked Object ID = -1
[23:18:24] [info] APP: Clicked Object ID = -1
[23:18:24] [info] APP: Clicked Object ID = -1
[23:18:24] [info] APP: Clicked Object ID = -1
[23:18:24] [info] APP: Clicked Object ID = -1
[23:18:24] [info] APP: Clicked Object ID = -1
[23:18:24] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:25] [info] APP: Clicked Object ID = -1
[23:18:26] [info] APP: Clicked Object ID = -1
[23:18:26] [info] APP: Clicked Object ID = -1
[23:18:26] [info] APP: Clicked Object ID = -1
[23:18:26] [info] APP: Clicked Object ID = -1
[23:18:26] [info] APP: Clicked Object ID = -1
[23:18:26] [info] APP: Clicked Object ID = -1
[23:18:26] [info] APP: Clicked Object ID = -1
[23:18:36] [info] APP: Clicked Object ID = -1
[23:18:36] [info] APP: Clicked Object ID = -1
[23:18:36] [info] APP: Clicked Object ID = -1
[23:18:36] [info] APP: Clicked Object ID = -1
[23:18:36] [info] APP: Clicked Object ID = -1
[23:18:36] [info] APP: Clicked Object ID = -1
[23:18:36] [info] APP: Clicked Object ID = -1
[23:18:36] [info] APP: Clicked Object ID = -1
[23:18:36] [info] APP: Clicked Object ID = -1
[23:18:43] [info] APP: Clicked Object ID = -1
[23:18:43] [info] APP: Clicked Object ID = -1
[23:18:43] [info] APP: Clicked Object ID = -1
[23:18:43] [info] APP: Clicked Object ID = -1
[23:18:43] [info] APP: Clicked Object ID = -1
[23:18:43] [info] APP: Clicked Object ID = -1
[23:18:43] [info] APP: Clicked Object ID = -1
[23:18:43] [info] APP: Clicked Object ID = -1
[23:18:43] [info] APP: Clicked Object ID = -1
[23:18:43] [info] APP: Clicked Object ID = -1
[23:18:43] [info] APP: Clicked Object ID = -1
[23:18:58] [info] APP: Clicked Object ID = -1
[23:18:58] [info] APP: Clicked Object ID = -1
[23:18:58] [info] APP: Clicked Object ID = -1
[23:18:58] [info] APP: Clicked Object ID = -1
[23:18:58] [info] APP: Clicked Object ID = -1
[23:18:58] [info] APP: Clicked Object ID = -1
[23:18:58] [info] APP: Clicked Object ID = -1
[23:18:58] [info] APP: Clicked Object ID = -1
[23:18:58] [info] APP: Clicked Object ID = -1
[23:18:58] [info] APP: Clicked Object ID = -1
[23:18:58] [info] APP: Clicked Object ID = -1
[23:18:58] [info] APP: Clicked Object ID = -1
[23:18:58] [info] APP: Clicked Object ID = -1
[23:18:58] [info] APP: Clicked Object ID = -1
[23:19:01] [info] VORTEX: New entity ID = 2
[23:19:20] [info] APP: Clicked Object ID = -1
[23:19:20] [info] APP: Clicked Object ID = -1
[23:19:20] [info] APP: Clicked Object ID = -1
[23:19:20] [info] APP: Clicked Object ID = -1
[23:19:20] [info] APP: Clicked Object ID = -1
[23:19:20] [info] APP: Clicked Object ID = -1
[23:19:20] [info] APP: Clicked Object ID = -1
[23:19:20] [info] APP: Clicked Object ID = -1
[23:19:20] [info] APP: Clicked Object ID = -1
[23:19:20] [info] APP: Clicked Object ID = -1
